moisture,temp,light,sound
30,26,150,105
30,26,149,28
30,26,145,237
55,26,143,219
55,26,152,231
55,26,152,187
55,26,148,229
55,26,142,241
55,26,156,229
55,26,162,231
55,26,166,228
55,26,163,234
55,26,163,229
55,26,162,220
55,26,160,224
55,26,145,225
55,26,131,225
55,26,112,206
55,26,110,223
55,26,96,223
55,26,76,225
55,26,111,223
55,26,143,223
55,26,151,223
55,26,147,215
55,26,149,223
55,26,148,193
55,26,148,239
55,26,156,237
55,26,159,223
55,26,160,223
55,26,162,228
55,26,162,216
55,26,162,208
55,26,162,226
55,26,165,226
55,26,162,225
55,26,163,224
55,26,162,223
55,26,163,226
55,26,163,197
55,26,163,231
55,26,163,226
55,26,163,223
55,26,163,222
55,26,163,220
54,26,163,221
55,26,163,201
55,26,164,222
55,26,163,221
55,26,163,221
55,26,163,220
54,26,163,220
55,26,163,219
55,26,163,215
55,26,163,219
54,26,163,205
55,26,162,222
55,26,162,232
55,26,162,222
55,26,162,224
55,26,162,220
55,26,162,222
55,26,162,220
55,26,162,220
55,26,162,203
55,26,162,219
55,26,162,219
55,26,162,219
55,26,162,221
55,26,162,219
55,26,161,219
54,26,161,227
54,26,161,172
55,26,161,199
55,26,161,223
54,26,161,221
55,26,161,219
55,26,161,217
55,26,162,230
55,26,161,231
55,26,161,219
55,26,161,219
55,26,161,210
55,26,161,225
55,26,161,198
55,26,161,218
55,26,161,218
55,26,161,219
55,26,161,218
55,26,161,217
55,26,161,218
54,26,162,225
54,26,162,192
55,26,116,200
54,26,155,220
55,26,163,219
55,26,161,217
55,26,161,216
55,26,161,213
55,26,160,217
55,26,161,177
55,26,161,217
55,26,161,217
55,26,161,217
55,26,161,219
55,26,161,198
55,26,161,218
54,26,164,216
55,26,161,227
55,26,161,217
55,26,161,218
55,26,161,219
55,26,161,189
55,26,161,217
55,26,161,217
55,26,161,217
55,26,161,216
55,26,162,208
55,26,162,217
55,26,161,179
55,26,164,218
55,26,162,218
55,26,161,217
55,26,162,216
55,26,162,202
55,26,162,217
55,26,162,218
55,26,161,220
55,26,162,229
55,26,162,223
55,26,162,224
55,26,162,194
55,26,162,226
55,26,162,232
55,26,162,217
55,26,162,218
55,26,162,212
55,26,156,221
55,26,124,186
55,26,164,229
55,26,165,220
55,26,166,217
55,26,167,218
55,26,167,204
55,26,167,220
55,26,167,222
55,26,167,217
55,26,167,216
55,26,167,208
55,26,167,216
55,26,167,178
55,26,167,216
55,26,167,217
55,26,162,225
55,26,161,225
55,26,164,206
55,26,163,215
55,26,163,186
55,26,162,223
55,26,162,214
55,26,162,225
54,26,162,222
54,26,162,203
55,26,162,222
55,26,162,190
55,26,162,213
55,26,162,232
54,26,162,216
55,26,162,221
55,26,162,192
55,26,162,219
55,26,162,224
55,26,162,216
55,26,162,216
55,26,162,216
55,26,162,215
55,26,162,187
55,26,162,216
55,26,162,215
55,26,162,216
55,26,162,217
55,26,162,217
55,26,162,216
55,26,162,196
54,26,162,215
55,26,162,217
55,26,162,217
54,26,162,216
55,26,162,217
54,26,162,216
54,26,162,206
55,26,155,219
55,26,156,183
55,26,157,215
55,26,127,222
55,26,106,217
55,26,104,216
55,26,107,203
55,26,133,219
55,26,141,179
55,26,131,227
55,26,142,223
56,26,150,220
56,26,155,227
56,26,119,208
56,26,138,226
57,26,0,179
57,26,21,217
57,26,141,209
58,26,30,223
56,26,0,221
56,26,0,209
56,26,0,216
55,26,33,190
55,26,0,218
