Time (seconds),moisture,temp,light,sound
149.93,55,26,150,105
149.98,55,26,149,28
150.10,55,26,145,237
150.20,55,26,143,219
150.30,55,26,152,231
150.40,55,26,152,187
150.50,55,26,148,229
150.60,55,26,142,241
150.70,55,26,156,229
150.80,55,26,162,231
150.90,55,26,166,228
151.00,55,26,163,234
151.10,55,26,163,229
151.20,55,26,162,220
151.30,55,26,160,224
151.40,55,26,145,225
151.50,55,26,131,225
151.60,55,26,112,206
151.70,55,26,110,223
151.80,55,26,96,223
151.90,55,26,76,225
152.00,55,26,111,223
152.10,55,26,143,223
152.20,55,26,151,223
152.30,55,26,147,215
152.40,55,26,149,223
152.50,55,26,148,193
152.60,55,26,148,239
152.70,55,26,156,237
152.80,55,26,159,223
152.90,55,26,160,223
153.00,55,26,162,228
153.10,55,26,162,216
153.20,55,26,162,208
153.30,55,26,162,226
153.40,55,26,165,226
153.50,55,26,162,225
153.60,55,26,163,224
153.70,55,26,162,223
153.80,55,26,163,226
153.90,55,26,163,197
154.00,55,26,163,231
154.10,55,26,163,226
154.20,55,26,163,223
154.30,55,26,163,222
154.40,55,26,163,220
154.50,54,26,163,221
154.60,55,26,163,201
154.70,55,26,164,222
154.80,55,26,163,221
154.90,55,26,163,221
155.00,55,26,163,220
155.10,54,26,163,220
155.20,55,26,163,219
155.30,55,26,163,215
155.40,55,26,163,219
155.50,54,26,163,205
155.60,55,26,162,222
155.70,55,26,162,232
155.80,55,26,162,222
155.90,55,26,162,224
156.00,55,26,162,220
156.10,55,26,162,222
156.20,55,26,162,220
156.30,55,26,162,220
156.40,55,26,162,203
156.50,55,26,162,219
156.60,55,26,162,219
156.71,55,26,162,219
156.80,55,26,162,221
156.90,55,26,162,219
157.00,55,26,161,219
157.10,54,26,161,227
157.21,54,26,161,172
157.30,55,26,161,199
157.40,55,26,161,223
157.50,54,26,161,221
157.60,55,26,161,219
157.70,55,26,161,217
157.80,55,26,162,230
157.90,55,26,161,231
158.00,55,26,161,219
158.10,55,26,161,219
158.20,55,26,161,210
158.30,55,26,161,225
158.40,55,26,161,198
158.50,55,26,161,218
158.60,55,26,161,218
158.70,55,26,161,219
158.80,55,26,161,218
158.90,55,26,161,217
159.00,55,26,161,218
159.10,54,26,162,225
159.21,54,26,162,192
159.30,55,26,116,200
159.40,54,26,155,220
159.51,55,26,163,219
159.61,55,26,161,217
159.71,55,26,161,216
159.81,55,26,161,213
159.91,55,26,160,217
160.01,55,26,161,177
160.11,55,26,161,217
160.21,55,26,161,217
160.31,55,26,161,217
160.41,55,26,161,219
160.51,55,26,161,198
160.61,55,26,161,218
160.70,54,26,164,216
160.81,55,26,161,227
160.91,55,26,161,217
161.01,55,26,161,218
161.11,55,26,161,219
161.21,55,26,161,189
161.31,55,26,161,217
161.41,55,26,161,217
161.51,55,26,161,217
161.61,55,26,161,216
161.71,55,26,162,208
161.81,55,26,162,217
161.91,55,26,161,179
162.01,55,26,164,218
162.11,55,26,162,218
162.21,55,26,161,217
162.31,55,26,162,216
162.41,55,26,162,202
162.51,55,26,162,217
162.60,55,26,162,218
162.71,55,26,161,220
162.81,55,26,162,229
162.91,55,26,162,223
163.01,55,26,162,224
163.11,55,26,162,194
163.21,55,26,162,226
163.30,55,26,162,232
163.41,55,26,162,217
163.51,55,26,162,218
163.61,55,26,162,212
163.71,55,26,156,221
163.81,55,26,124,186
163.91,55,26,164,229
164.01,55,26,165,220
164.11,55,26,166,217
164.21,55,26,167,218
164.31,55,26,167,204
164.41,55,26,167,220
164.51,55,26,167,222
164.61,55,26,167,217
164.71,55,26,167,216
164.81,55,26,167,208
164.91,55,26,167,216
165.01,55,26,167,178
165.11,55,26,167,216
165.21,55,26,167,217
165.31,55,26,162,225
165.41,55,26,161,225
165.51,55,26,164,206
165.61,55,26,163,215
165.71,55,26,163,186
165.81,55,26,162,223
165.91,55,26,162,214
166.01,55,26,162,225
166.11,54,26,162,222
166.21,54,26,162,203
166.31,55,26,162,222
166.41,55,26,162,190
166.51,55,26,162,213
166.61,55,26,162,232
166.71,54,26,162,216
166.81,55,26,162,221
166.91,55,26,162,192
167.01,55,26,162,219
167.11,55,26,162,224
167.21,55,26,162,216
167.31,55,26,162,216
167.41,55,26,162,216
167.51,55,26,162,215
167.61,55,26,162,187
167.71,55,26,162,216
167.81,55,26,162,215
167.91,55,26,162,216
168.01,55,26,162,217
168.11,55,26,162,217
168.21,55,26,162,216
168.31,55,26,162,196
168.41,54,26,162,215
168.51,55,26,162,217
168.61,55,26,162,217
168.71,54,26,162,216
168.81,55,26,162,217
168.91,54,26,162,216
169.01,54,26,162,206
169.11,55,26,155,219
169.21,55,26,156,183
169.32,55,26,157,215
169.41,55,26,127,222
169.52,55,26,106,217
169.61,55,26,104,216
169.72,55,26,107,203
169.81,55,26,133,219
169.92,55,26,141,179
170.02,55,26,131,227
170.11,55,26,142,223
170.22,56,26,150,220
170.31,56,26,155,227
170.42,56,26,119,208
170.51,56,26,138,226
170.62,57,26,0,179
170.72,57,26,21,217
170.81,57,26,141,209
170.92,58,26,30,223
171.01,56,26,0,221
171.12,56,26,0,209
171.21,56,26,0,216
171.32,55,26,33,190
171.42,55,26,0,218
