Time (seconds),moisture,temp,light,sound
19.53,593,23,0,64
19.58,244,23,0,15
19.70,677,23,0,240
19.80,677,23,0,219
19.90,676,23,0,235
20.00,674,23,0,234
20.10,664,23,0,234
20.20,667,23,0,232
20.30,670,23,0,228
20.40,666,23,0,230
20.50,662,23,0,217
20.60,655,23,0,230
20.70,655,23,0,196
20.80,654,23,0,228
20.90,657,23,0,255
21.00,656,23,0,229
21.10,659,23,0,223
21.20,661,23,0,228
21.30,660,23,0,198
21.40,661,23,0,229
21.50,661,23,0,226
21.60,662,23,0,228
21.70,661,23,0,227
21.80,661,23,0,225
21.90,662,23,0,126
22.00,661,23,0,205
22.10,661,23,0,225
22.20,660,23,0,225
22.30,656,23,0,228
22.40,638,23,0,234
22.50,635,23,0,229
22.60,634,23,0,226
22.70,636,23,0,203
22.80,634,23,0,225
22.90,632,23,0,223
23.00,634,23,0,225
23.10,648,23,0,223
23.20,637,23,0,224
23.30,640,23,0,224
23.40,642,23,0,207
23.50,640,23,0,224
23.60,642,23,0,224
23.70,641,23,0,225
23.80,615,23,0,221
23.90,615,23,0,224
24.00,615,23,0,224
24.10,615,23,0,210
24.20,615,23,0,223
24.30,617,23,0,212
24.40,620,23,0,227
24.50,637,23,0,223
24.60,647,23,0,221
24.70,656,23,0,220
24.80,654,23,0,221
24.90,634,23,0,224
25.00,599,23,0,191
25.10,603,23,0,222
25.20,607,23,0,223
25.30,547,23,0,227
25.40,536,23,0,223
25.50,530,23,0,217
25.60,527,23,0,221
25.70,517,23,0,204
25.80,512,23,0,222
25.90,507,23,0,227
26.00,501,23,0,224
26.10,499,23,0,223
26.20,494,23,0,221
26.30,478,23,0,221
26.40,475,23,0,205
26.50,472,23,0,221
26.60,472,23,0,221
26.70,466,23,0,221
26.80,466,23,0,222
26.90,469,23,0,220
27.00,463,23,0,220
27.11,486,23,0,215
27.20,487,23,0,221
27.30,486,23,0,190
27.40,486,23,0,220
27.50,484,23,0,219
27.60,485,23,0,220
27.70,484,23,0,222
27.80,484,23,0,221
27.90,485,23,0,221
28.00,486,23,0,204
28.10,487,23,0,220
28.20,488,23,0,219
28.30,489,23,0,224
28.40,489,23,0,220
28.50,491,23,0,221
28.60,493,23,0,220
28.70,494,23,0,211
28.80,490,23,0,220
28.90,494,23,0,182
29.00,495,23,0,220
29.10,496,23,0,220
29.20,495,23,0,221
29.30,494,23,0,220
29.40,493,23,0,212
29.50,493,23,0,220
29.60,494,23,0,186
29.70,494,23,0,220
29.80,495,23,0,220
29.90,488,23,0,220
30.00,491,23,0,219
30.11,474,23,0,216
30.21,472,23,0,220
30.31,473,23,0,190
30.41,471,23,0,220
30.51,472,23,0,219
30.61,472,23,0,221
30.71,471,23,0,220
30.81,471,23,0,221
30.91,467,23,0,115
31.01,453,23,0,192
31.11,453,23,0,220
31.20,456,23,0,220
31.31,459,23,0,221
31.41,463,23,0,220
31.51,468,23,0,220
31.61,475,23,0,220
31.71,495,23,0,198
31.81,494,23,0,219
31.90,494,23,0,220
32.01,493,23,0,221
32.11,492,23,0,221
32.21,492,23,0,220
32.31,493,23,0,220
32.41,495,23,0,202
32.51,496,23,0,220
32.60,501,23,0,220
32.71,509,23,0,220
32.81,513,23,0,220
32.91,520,23,0,220
33.01,524,23,0,219
33.11,528,23,0,207
33.21,529,23,0,220
33.31,531,23,0,181
33.41,531,23,0,219
33.51,530,23,0,220
33.61,527,23,0,220
33.71,521,23,0,219
33.81,514,23,0,211
33.91,491,23,0,219
34.01,495,23,0,185
34.11,496,23,0,219
34.21,500,23,0,219
34.31,505,23,0,220
34.41,513,23,0,219
34.51,526,23,0,215
34.61,548,23,0,218
34.71,552,23,0,185
34.81,554,23,0,219
34.91,556,23,0,219
35.01,560,23,0,220
35.11,561,23,0,219
35.21,564,23,0,215
35.31,565,23,0,219
35.41,568,23,0,189
35.51,482,23,0,221
35.61,506,23,0,218
35.71,526,23,0,220
35.81,530,23,0,219
35.91,533,23,0,219
36.01,535,23,0,113
36.11,536,23,0,192
36.21,537,23,0,219
36.31,538,23,0,219
36.41,541,23,0,220
36.51,540,23,0,219
36.61,542,23,0,220
36.71,542,23,0,219
36.81,543,23,0,199
36.91,545,23,0,219
37.01,545,23,0,218
37.11,548,23,0,221
37.21,549,23,0,220
37.31,552,23,0,219
37.41,554,23,0,219
37.51,556,23,0,203
37.61,559,23,0,219
37.71,560,23,0,218
37.81,561,23,0,219
37.91,562,23,0,219
38.01,565,23,0,220
38.11,566,23,0,218
38.21,566,23,0,207
38.31,563,23,0,219
38.41,560,23,0,181
38.51,546,23,0,218
38.61,545,23,0,219
38.71,546,23,0,220
38.81,549,23,0,220
38.91,553,23,0,209
39.01,558,23,0,214
39.11,564,23,0,187
39.21,583,23,0,217
39.31,582,23,0,222
39.41,583,23,0,221
39.52,583,23,0,166
39.61,582,23,0,214
39.71,580,23,0,219
39.81,579,23,0,197
39.91,578,23,0,221
40.01,576,23,0,218
40.11,575,23,0,220
40.21,574,23,0,219
40.31,572,23,0,218
40.41,571,23,0,147
40.51,571,23,0,195
40.61,570,23,0,218
40.71,569,23,0,218
40.81,567,23,0,221
40.91,572,23,0,221
41.02,573,23,0,219
41.11,572,23,0,218
41.22,574,23,0,198
41.32,575,23,0,218
41.41,576,23,0,218
41.52,578,23,0,219
41.61,579,23,0,219
41.72,580,23,0,219
41.81,580,23,0,218
41.92,580,23,0,201
42.02,578,23,0,217
42.11,575,23,0,219
42.22,572,23,0,219
42.31,564,23,0,218
42.42,558,23,0,219
42.51,537,23,0,219
42.62,538,23,0,205
42.71,537,23,0,218
42.82,538,23,0,180
42.92,542,23,0,218
43.01,546,23,0,218
43.12,556,23,0,219
43.21,573,23,0,217
43.32,573,23,0,206
43.41,572,23,0,218
43.54,571,23,0,184
43.64,568,23,0,217
43.73,567,23,0,218
43.84,565,23,0,218
43.93,563,23,0,218
44.04,562,23,0,209
44.13,561,23,0,217
44.24,560,23,0,183
44.34,559,23,0,217
44.43,557,23,0,217
44.54,554,23,0,218
44.63,548,23,0,217
44.74,535,23,0,213
44.83,524,23,0,217
44.94,520,23,0,188
45.04,515,23,0,217
45.13,511,23,0,217
45.24,510,23,0,218
45.33,508,23,0,217
45.44,514,23,0,218
45.53,525,23,0,218
45.64,523,23,0,196
45.74,523,23,0,217
